Item,Quantity,Description
1,2,40mm x 40mm x 10mm 12V DC Fan (2-wire)
2,4,M3 x 12mm Countersunk Flat Head Crossed Screw
3,8,M3 x 16mm Countersunk Flat Head Crossed Screw
4,8,M3 Hex Nut
5,4,M3 Heat-Set Insert for 3D Printing
6,1,XL6009E1 DC-DC Boost Converter Module
7,2,100?F Electrolytic Capacitor
8,2,10nF Ceramic Capacitor
9,1,500mA Polyfuse
